Sim_Microsoft_ON,Bin_Microsoft_ON,Sim_Microsoft_OFF,Bin_Microsoft_OFF,Sim_OCRA,Bin_OCRA,Sim_OCRS,Bin_OCRS,Sim_OCRS_Dict,Bin_OCRS_Dict,Sim_ICRC,Bin_ICRC,Sim_ICRC_Dict,Bin_ICRC_Dict,Sim_Para,Bin_Para,Sim_Para_Dict,Bin_Para_Dict
50.30449437,27.05882353,34.47609503,17.64705882,50.46389952,21.68674699,50.84942027,14.45783133,28.86981344,6.024096386,49.00070633,14.45783133,27.14505193,8.43373494,20.05511877,13.25301205,36.18289308,20.48192771
46.24399517,27.08333333,30.75616318,10.41666667,56.23075842,23.61111111,48.25339907,22.22222222,33.91680403,15.27777778,47.02703008,18.05555556,33.94761103,18.05555556,33.81934422,15.27777778,57.4750192,25
50.97640664,29.77099237,48.4402048,24.42748092,51.41272325,22.54901961,45.23303971,14.70588235,15.95208162,3.921568627,49.50539966,13.7254902,18.95593611,7.843137255,18.74593265,5.882352941,48.06788824,14.70588235
74.4407016,50.4950495,71.12058461,43.56435644,52.99403042,35.35353535,53.83812875,27.27272727,29.00310826,14.14141414,54.10832707,29.29292929,29.4244027,17.17171717,30.29641655,16.16161616,53.02139352,25.25252525
